# sid	tripitaka	name	lqsutra	total_reels	remark
GL004040	GL	佛說法集經	LQ008070	6	
GL004050	GL	觀察諸法行經	LQ007490	4	
GL004060	GL	菩薩從兜術天降神母胎說廣普經		7	行407:存疑C,龙泉编号为空
GL004070	GL	佛說弘道廣顯三昧經	LQ007350	4	
GL004080	GL	佛說施燈功德經	LQ007950	1	
GL004090	GL	無所有菩薩經	LQ006550	4	
GL004100	GL	央掘魔羅經	LQ001390	4	
GL004110	GL	佛說明度五十校計經	LQ004390	2	
GL004120	GL	文殊師利問經	LQ006360	2	
GL004130	GL	大方廣如來祕密藏經	LQ008390	2	
GL004140	GL	中陰經	LQ004200	2	
GL004150	GL	佛說月上女經	LQ006510	2	
GL004160	GL	大法鼓經	LQ003010	2	
GL004170	GL	大乘密嚴經	LQ007750	3	
GL004180	GL	文殊師利問菩薩署經	LQ006290	1	
GL004190	GL	佛說大乘造像功德經	LQ007860	2	
GL004200	GL	蓮華面經	LQ004210	2	
GL004210	GL	占察善惡業報經	LQ008540	2	
GL004220	GL	廣大寶樓閣善住秘密陀羅尼經	LQ010271	3	
GL004230	GL	五佛頂三昧陀羅尼經	LQ009690	4	
GL004240	GL	大陀羅尼末法中一字心呪經	LQ012220	1	
GL004250	GL	一字佛頂輪王經	LQ009680	5	
GL004260	GL	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	LQ009620	10	
GL004270	GL	大毘盧遮那成佛神變加持經	LQ008650	7	
GL004280	GL	蘇婆呼童子請問經	LQ009141	3	
GL004290	GL	金剛頂瑜伽中略出念誦經	LQ008840	4	
GL004300	GL	牟梨曼陀羅呪經	LQ010280	1	
GL004310	GL	蘇悉地羯羅供養法	LQ009121	3	
GL004320	GL	蘇悉地羯囉經	LQ009111	3	
GL004330	GL	七佛八菩薩所說大陀羅尼神呪經	LQ013820	4	
GL004340	GL	大吉義神呪經	LQ013830	4	
GL004350	GL	佛說文殊師利法寶藏陀羅尼經	LQ012250	1	
GL004360	GL	金剛光焰止風雨陀羅尼經	LQ010481	1	
GL004370	GL	佛說安宅神呪經	LQ014400	1	
GL004380	GL	佛說摩尼羅亶經	LQ014390	1	
GL004390	GL	佛說玄師颰陀所說神呪經	LQ014251	1	
GL004400	GL	佛說護諸童子陀羅尼經	LQ010491	1	
GL004410	GL	佛說大普賢陁羅尼經	LQ014140	1	
GL004420	GL	阿吒婆拘鬼神大將上佛陀羅尼神呪經	LQ012780	1	
GL004430	GL	阿彌陀鼓音聲王陀羅尼經	LQ004030	1	
GL004440	GL	諸佛心陁羅尼經	LQ009360	1	
GL004450	GL	八名普密陁羅尼經	LQ014120	1	
GL004460	GL	拔濟苦難陀羅尼經	LQ014410	1	
GL004470	GL	六門陀羅尼經	LQ014060	1	
GL004480	GL	持世陀羅尼經	LQ012000	1	
GL004490	GL	淸淨觀世音普賢陁羅尼經	LQ010600	1	
GL004500	GL	佛說大七寶陁羅尼經	LQ014150	1	
GL004510	GL	六字大陀羅尼呪經	LQ010680	1	
GL004520	GL	佛說千佛因緣經	LQ006150	1	
GL004530	GL	佛垂般涅槃略說敎誡經	LQ004240	1	
GL004540	GL	佛說隨求卽得大自在陁羅尼神呪經	LQ011920	1	
GL004550	GL	佛說一切功德莊嚴王經	LQ014210	1	
GL004560	GL	佛說拔除罪障呪王經	LQ014420	1	
GL004570	GL	香王菩薩陁羅尼呪經	LQ011960	1	
GL004580	GL	佛說莊嚴王陀羅尼呪經	LQ014220	1	
GL004590	GL	佛說善夜經	LQ014090	1	
GL004600	GL	佛說佛地經	LQ007740	1	
GL004610	GL	佛說心明經	LQ006980	1	
