龍泉編碼	实体经名	中华藏编号	卷序号	实际卷数	起始册码	终止册码	
LQ0209	大魚事經	ZH0890	1	1	36	36	
LQ0472	佛說大迦葉本經	ZH0891	1	1	36	36	
LQ0590	弟子死復生經	ZH0892	1	1	36	36	
LQ0497	佛說佛大僧大經	ZH0893	1	1	36	36	
LQ0471	佛說阿難七夢經	ZH0894	1	1	36	36	
LQ0486	佛說摩達國王經	ZH0895	1	1	36	36	
LQ0495	佛說呵鵰阿那鋡經	ZH0897	1	1	36	36	
LQ0484	佛說末羅王經	ZH0898	1	1	36	36	
LQ0509	佛說婦人遇辜經	ZH0899	1	1	36	36	
LQ0475	羅云忍辱經	ZH0900	1	1	36	36	
LQ0473	佛說摩訶迦葉度貧母經	ZH0901	1	1	36	36	
LQ0569	十二品生死經	ZH0902	1	1	36	36	
LQ1542	佛說五恐怖世經	ZH0903	1	1	36	36	
LQ0498	佛說耶祇經	ZH0904	1	1	36	36	
LQ0485	佛說旃陀越國王經	ZH0905	1	1	36	36	
LQ0568	佛說五無反復經	ZH0906	1	1	36	36	
LQ0477	佛為年少比丘說正事經	ZH0909	1	1	36	36	
LQ0476	佛說沙曷比丘功德經	ZH0910	1	1	36	36	
LQ0510	無垢優婆夷問經	ZH0911	1	1	36	36	
LQ0591	佛說懈怠耕者經	ZH0912	1	1	36	36	
LQ0683	辯意長者子經	ZH0913	1	1	36	36	
LQ0141	佛說四天王經	ZH0914	1	1	36	36	
LQ0584	佛說時非時經	ZH0915	1	1	36	36	
LQ0567	佛說因緣僧護經	ZH0917	1	1	36	36	
LQ0496	盧至長者因緣經	ZH0918	1	1	36	36	
LQ0487	佛說梵摩難國王經	ZH0919	1	1	36	36	
LQ0478	比丘避女惡名欲自殺經	ZH0920	1	1	36	36	
LQ0107	佛說九橫經	ZH0921	1	1	36	36	
LQ0539	佛說出家功德經	ZH0922	1	1	36	36	
LQ0147	佛說無上處經	ZH0923	1	1	36	36	
LQ0146	佛說羣牛譬經	ZH0925	1	1	36	36	
LQ0592	佛說木槵子經	ZH0926	1	1	36	36	
LQ0522	佛說禪行三十七品經	ZH0927	1	1	36	36	
LQ0489	佛說五王經	ZH0928	1	1	36	36	
LQ0566	佛說護淨經	ZH0929	1	1	36	36	
LQ0588	佛說栴檀樹經	ZH0930	1	1	36	36	
LQ0054	佛說孫多耶致經	ZH0931	1	1	36	36	
LQ0578	佛說賢者五福德經	ZH0932	1	1	36	36	
LQ0066	佛說八無暇有暇經	ZH0933	1	1	36	36	
LQ1373	佛說療痔病經	ZH0934	1	1	36	36	
LQ0587	佛說略教誡經	ZH0935	1	1	36	36	
LQ0210	佛說譬喻經	ZH0936	1	1	36	36	
LQ0514	長爪梵志請問經	ZH0937	1	1	36	36	
LQ0129	佛說無常經	ZH0938	1	1	36	36	
LQ0063	佛說新歲經	ZH0940	1	1	36	36	
LQ0113	比丘聽施經	ZH0941	1	1	36	36	
LQ1303	佛說鬼子母經	ZH0942	1	1	36	36	
LQ0561	佛說頞多和多耆經	ZH0943	1	1	36	36	
LQ0488	普達王經	ZH0944	1	1	36	36	
LQ0427	佛滅度後棺杀葬送经	ZH0945	1	1	36	36	
LQ0515	天請問經	ZH0946	1	1	36	36	
LQ0536	佛說父母恩難報經	ZH0947	1	1	36	36	
LQ1487	摩訶僧祇律	ZH0948	40	40	36	37	
LQ1496-1	十誦律	ZH0949	61	61	37	38	
LQ1503	根本說一切有部毗奈耶	ZH0950	50	50	38	38	
LQ1504	根本說一切有部苾蒭尼毗奈耶	ZH0951	20	20	38	38	
LQ1512	根本說一切有部毗奈耶雜事	ZH0952	40	40	39	39	
LQ1513-1	根本說一切有部尼陁那	ZH0953	10	5	39	39	
LQ1509	根本說一切有部毗奈耶藥事	ZH0954	18	18	39	39	
LQ1511	根本說一切有部毗奈耶破僧事	ZH0955	20	20	39	39	
LQ1505	根本說一切有部毗奈耶出家事	ZH0956	4	4	39	39	
LQ1506	根本說一切有部毗奈耶安居事	ZH0957	1	1	39	39	
LQ1507	根本說一切有部毗奈耶隨意事	ZH0958	1	1	39	39	
LQ1508	根本說一切有部毗奈耶皮革事	ZH0959	2	2	39	39	
LQ1510	根本說一切有部毗奈耶羯耻那衣事	ZH0960	1	1	39	39	
LQ1482	五分律	ZH0961	30	30	39	40	
LQ1489	四分律	ZH0962	50	50	40	40	
LQ1502	薩婆多部毗尼摩得勒伽經	ZH0963	10	10	42	42	
LQ1525	鼻奈耶	ZH0964	10	10	42	42	
LQ1523	善見毗婆沙律	ZH0965	18	18	42	42	
LQ1543	佛阿毗曇經出家相品	ZH0966	2	2	42	42	
LQ1524	毗尼母經	ZH0967	8	8	42	42	
LQ1531	大比丘三千威儀	ZH0968	2	2	42	42	
LQ1501	薩婆多毗尼毗婆沙	ZH0969	9	9	42	42	
LQ1522	律二十二明了論	ZH0970	1	1	42	42	
LQ1613	阿毗曇八犍度論	ZH0971	30	30	43	43	
LQ1612	阿毗達磨發智論	ZH0972	20	20	43	43	
LQ1606	阿毗達磨法蘊足論	ZH0973	12	12	43	43	
LQ1605	阿毗達磨集異門足論	ZH0974	20	20	43	43	
LQ1608	阿毗達磨識身足論	ZH0975	16	16	43	43	
LQ1609	阿毗達磨界身足論	ZH0976	3	3	43	43	
LQ1611	眾事分阿毗曇論	ZH0978	12	12	44	44	
LQ1615	阿毗曇毗婆沙論	ZH0979	60	60	44	44	
LQ1614	阿毗達磨大毗婆沙論	ZH0980	200	200	44	46	
LQ1628	阿毗達磨俱舍釋論	ZH0981	22	22	46	46	
LQ1629	阿毗達磨俱舍論本頌	ZH0982	1	1	46	46	
LQ1627	阿毗達磨俱舍論	ZH0983	30	30	47	47	
LQ1631	阿毗達磨順正理論	ZH0984	80	80	47	48	
LQ1632	阿毗達磨藏顯宗論	ZH0985	40	40	48	48	
LQ1620	阿毗曇心論經	ZH0986	6	6	48	48	
LQ1619	阿毗曇心論	ZH0987	4	4	48	48	
LQ1621	雜阿毗曇心論	ZH0988	11	11	48	48	
LQ1622	阿毗曇甘露味論	ZH0989	2	2	48	48	
LQ1700	隨相論	ZH0990	1	1	48	48	
LQ1618	尊婆須蜜菩薩所集論	ZH0991	10	10	48	48	
LQ1623	入阿毗達磨論	ZH0992	2	2	48	48	
LQ1572	三法度論	ZH0993	3	3	48	48	
LQ1705	成實論	ZH0994	16	16	49	49	
LQ1705	成實論	ZH0994	16	16	49	49	
LQ1703	佛說立世阿毗曇論	ZH0995	10	10	49	49	
LQ1707	解脫道論	ZH0996	12	12	49	49	
LQ1617	舍利弗阿毗曇論	ZH0997	30	30	49	49	
LQ1624	五事毗婆沙論	ZH0998	2	2	49	49	
LQ1616	鞞婆沙論	ZH0999	14	14	49	49	
LQ1708	三彌底部論	ZH1000	3	3	50	50	
LQ1706	四諦論	ZH1002	4	4	50	50	
LQ3605	十八部論	ZH1004	1	1	50	50	
LQ3604	異部宗輪論	ZH1005	1	1	50	50	
LQ1709	佛說辟支佛因緣論	ZH1006	2	2	50	50	
LQ1739	大宗地玄文本輪	ZH1007	20	20	50	50	
LQ1738	釋摩訶洐論	ZH1008	10	10	50	50	
LQ0187	佛本行經	ZH1009	7	7	50	50	
LQ0194	撰集百緣經	ZH1011	10	10	50	50	
LQ0206	出曜經	ZH1012	30	30	50	50	
LQ0196	賢愚經	ZH1013	13	13	51	51	
LQ0533	修行道地經	ZH1014	7	7	51	51	
LQ0188	僧伽羅[條*刂]所集經	ZH1016	3	3	51	51	
LQ0534	道地經	ZH1017	1	1	51	51	
LQ0203	佛說百喻經	ZH1018	4	4	51	51	
LQ0213	菩薩本緣經	ZH1019	3	3	51	51	
LQ0862	大乘修行菩薩行門諸經要集	ZH1020	3	3	51	51	
LQ3652	付法藏因緣傳	ZH1021	6	6	51	51	
LQ0525	坐禪三昧經	ZH1022	2	2	51	51	
LQ0813	四品學法經	ZH1023	1	1	51	51	
LQ0585	佛治身經	ZH1024	1	1	51	51	
LQ0177	佛說治意經	ZH1025	1	1	51	51	
LQ0573	惟日雜難經	ZH1026	1	1	51	51	
LQ0529	菩薩呵色欲法經	ZH1027	1	1	51	51	
LQ0583	佛說佛醫經	ZH1028	1	1	51	51	
LQ0429	佛入涅槃密跡金剛力士哀戀經	ZH1029	1	1	51	51	
LQ3601	佛使比丘迦旃延說法沒盡偈百二十章	ZH1030	1	1	51	51	
LQ0428	迦葉赴佛般涅槃經	ZH1031	1	1	51	51	
LQ0197	雜寶藏經	ZH1032	10	10	51	51	
LQ1740-1	那先比丘經	ZH1033	2	2	51	51	
LQ1740-2	那先比丘經(別本)	ZH1034	3	3	51	51	
LQ0530	達摩多羅禪經	ZH1035	2	2	51	51	
LQ0526	禪法要解	ZH1036	2	2	51	51	
LQ0200	舊雜譬喻經	ZH1037	2	2	51	51	
LQ0524	五門禪經要用法	ZH1038	1	1	51	51	
LQ0198	雜譬喻經	ZH1039	1	1	51	51	
LQ0531	佛說內身觀章句經	ZH1040	1	1	51	51	
LQ0532	法觀經	ZH1041	1	1	51	51	
LQ0528	思維略要法	ZH1042	1	1	51	51	
LQ0527	禪要經	ZH1043	1	1	51	51	
LQ0189	佛說十二遊經	ZH1044	1	1	51	51	
LQ3629	阿育王經	ZH1045	10	10	51	51	
LQ3778	釋迦方志	ZH1046	2	2	52	52	
LQ3624	釋迦氏譜	ZH1047	1	1	52	52	
LQ3887	經律異相	ZH1048	50	50	52	53	
LQ3890	諸經要集	ZH1050	20	20	53	53	
LQ3958	出三藏記集	ZH1051	10	10	53	53	
LQ3959	眾經目錄	ZH1053	7	7	54	54	
LQ3607	歷代三寶記	ZH1054	15	15	54	54	
LQ3960	眾經目錄並序	ZH1055	1	1	54	54	
LQ3961	眾經目錄	ZH1056	5	5	54	54	
LQ3962	大唐內典錄	ZH1057	10	10	54	54	
LQ3965	大週刊定眾經目錄	ZH1058	15	15	54	54	
LQ3963	古今譯經圖記	ZH1059	4	4	54	54	
LQ3964	續古今譯經圖記	ZH1060	1	1	54	54	
LQ3966	開元釋教錄	ZH1062	20	20	55	55	
LQ3967	開元釋教錄略出	ZH1063	4	4	55	55	
LQ3970	貞元新定釋教目錄	ZH1064	30	30	55	55	
LQ3971	大唐保大乙巳歲續貞元釋教錄	ZH1065	1	1	55	55	
LQ3943-1	一切經音義	ZH1066	25	25	56	57	
LQ3945	一切經音義	ZH1068	100	100	57	59	
LQ3946	續一切經音義	ZH1069	10	10	59	59	
LQ3944-1	新譯大方廣佛華嚴經音義	ZH1070	2	2	59	59	
LQ3948	紹興重雕大藏音	ZH1072	3	3	59	59	
LQ3947	新集藏經音義隨函錄	ZH1073	30	30	59	60	
LQ3777	大唐西域記	ZH1074	12	12	60	60	
LQ3801	集古今佛道論衡	ZH1075	4	4	60	60	
LQ3802	續集古今佛道論衡	ZH1076	1	1	60	60	
LQ3818	集沙門不應拜俗等事	ZH1077	6	6	60	60	
LQ3803	集神州三寶感通錄	ZH1078	3	3	60	60	
LQ3639	大唐大慈恩寺三藏法師傳	ZH1079	10	10	61	61	
LQ3661	大唐西域求法高僧傳	ZH1080	2	2	61	61	
LQ3775	昔道人法顯從長安行西至天竺傳	ZH1081	1	1	61	61	
LQ3637	唐護法沙門法琳別傳	ZH1082	3	3	61	61	
LQ3636	隋天臺智者大師別傳	ZH1083	1	1	61	61	
LQ3653	高僧傳	ZH1084	14	14	61	61	
LQ3654	續高僧傳	ZH1085	30	30	61	61	
LQ3655	宋高僧傳	ZH1086	30	30	62	62	
LQ3658	明高僧傳	ZH1087	6	6	62		三层表中，终止册码、页码可能有误，麻烦核对下
LQ3668	神僧傳	ZH1088	9	9	62		三层表中，终止册码、页码可能有误，麻烦核对下
LQ3820	辯正論	ZH1089	8	8	62	62	
LQ3819	破邪論	ZH1090	2	2	62	62	
LQ3822	甄正論	ZH1091	3	3	62	62	
LQ3821	十門辯惑論	ZH1092	3	3	62	62	
LQ3799	弘明集	ZH1093	14	14	62	62	
LQ3800	廣弘明集	ZH1094	30	30	62	63	
LQ3892	南海寄歸內法傳	ZH1095	4	4	63	63	
LQ2693	說罪要行法	ZH1096	1	1	63	63	
LQ2691	護命放生儀軌法	ZH1097	1	1	63	63	
LQ2692	受用三水要行法	ZH1098	1	1	63	63	
LQ3671	比丘尼傳	ZH1099	4	4	63	63	
LQ3842	集諸經禮懺儀	ZH1100	2	2	63	63	
LQ1072	佛說大乘莊嚴寶王經	ZH1101	4	4	63	63	
LQ0288	佛說聖佛母小字波若波羅密多經	ZH1102	1	1	63	63	
LQ0954	佛說大乘聖無量壽決定光明王如來陀羅尼經	ZH1103	1	1	63	63	
LQ0960	佛說無能勝幡王如來莊嚴陀羅尼經	ZH1104	1	1	63	63	
LQ0990-1	最勝佛頂陀羅尼經	ZH1105	1	1	63	63	
LQ1202	佛說大乘聖吉祥持世陀羅尼經	ZH1106	1	1	63	63	
LQ1752	七佛贊唄伽他	ZH1107	1	1	63	63	
LQ0331	大方廣總持寶光明經	ZH1108	5	5	63	63	
LQ1021	佛說守護大千國土經	ZH1109	3	3	63	63	
LQ1284	佛說出生一切如來法眼遍照大力明王經	ZH1110	2	2	63	63	
LQ0084	分別善惡報應經	ZH1111	2	2	63	63	
LQ0641	佛說大乘善見變化文殊師利問法經	ZH1112	1	1	63	63	
LQ0365	佛說大乘日子王所問經	ZH1113	1	1	63	63	
LQ1070	佛說大護明大陀羅尼經	ZH1114	1	1	63	63	
LQ0787	佛說樓閣正法甘露鼓經	ZH1115	1	1	63	63	
LQ0684	佛說金耀童子經	ZH1116	1	1	63	63	
LQ1438	大寒林聖難拏陀羅尼經	ZH1117	1	1	63	63	
LQ0572	佛說較量壽命經	ZH1118	1	1	63	63	
LQ1184	聖虛空藏菩薩陀羅尼經	ZH1119	1	1	63	63	
LQ1046	佛頂放無垢光明入普門觀察一切如來心陀羅尼經	ZH1120	2	2	63	63	
LQ1400	佛說聖最上燈明如來陀羅尼經	ZH1121	1	1	63	63	
LQ1169	息除中天陀羅尼經	ZH1122	1	1	63	63	
LQ1448	消除一切閃電障難隨求如意陀羅尼經	ZH1123	1	1	63	63	
LQ0516	佛說嗟韈曩法天子受三歸依免除惡道經	ZH1124	1	1	63	63	
LQ1745	贊法界頌	ZH1125	1	1	63	63	
LQ1274	佛說無能勝大明王陀羅尼經	ZH1126	1	1	63	63	
LQ0571	佛說諸行有為經	ZH1127	1	1	63	63	
LQ1043	一切如來正法秘密篋印心陀羅尼經	ZH1128	1	1	63	63	
LQ0804	妙法聖念處經	ZH1129	8	8	63	63	
LQ0545	佛說六道伽陀經	ZH1130	1	1	63	63	
LQ1762	勝軍化世百喻伽陀經	ZH1131	1	1	63	63	
LQ0207	法集要誦經	ZH1132	4	4	63	63	
LQ1076	聖觀自在菩薩一百八名經	ZH1133	1	1	63	63	
LQ1139	讚揚聖德多羅菩薩一百八名經	ZH1134	1	1	63	63	
LQ1732	菩提行經	ZH1135	4	4	63	63	
LQ0382	佛說大迦葉問大寶積正法經	ZH1136	5	5	63	63	
LQ0576	佛說法集名數經	ZH1137	1	1	63	63	
LQ1534	佛說沙彌十戒儀則經	ZH1138	1	1	63	63	
LQ1203	聖持世陀羅尼經	ZH1139	1	1	63	63	
LQ0540	十二緣生祥瑞經	ZH1140	2	2	63	63	
LQ1276	無能勝大明心陀羅尼經	ZH1141	1	1	63	63	
LQ0935	諸佛心印陀羅尼經	ZH1142	1	1	63	63	
LQ0861	外道問聖大乘法無我義經	ZH1143	1	1	63	63	
LQ1540	佛說苾芻五法經	ZH1144	1	1	63	63	
LQ1541	佛說苾芻迦屍迦十法經	ZH1145	1	1	63	63	
LQ1138	聖多羅菩薩一百八名陀羅尼經	ZH1146	1	1	63	63	
LQ1147	毗俱胝菩薩一百八名經	ZH1147	1	1	63	63	
LQ1701	金剛針論	ZH1148	1	1	63	63	
LQ1528	佛說目連所問經	ZH1149	1	1	63	63	
LQ1275	無能勝大明陀羅尼經	ZH1150	1	1	63	63	
LQ1219	大方廣菩薩藏文殊師利根本儀軌經	ZH1151	20	20	64	64	
LQ0289	佛說觀想佛母波若波羅密多菩薩經	ZH1152	1	1	64	64	
LQ0720	佛為娑伽羅龍王所說大乘經	ZH1153	1	1	64	64	
LQ0818	佛說十號經	ZH1154	1	1	64	64	
LQ1458	佛說寶生陀羅尼經	ZH1155	1	1	64	64	
LQ1457	佛說蓮華眼陀羅尼經	ZH1156	1	1	64	64	
LQ1447	佛說大金剛香陀羅尼經	ZH1157	1	1	64	64	
LQ0604	大乘寶月童子問法經	ZH1158	1	1	64	64	
LQ1464	佛說一切如來安相三昧儀軌經	ZH1159	1	1	64	64	
LQ0716	佛說大自在天子因地經	ZH1160	1	1	64	64	
LQ1149	廣大蓮華莊嚴曼拏羅滅一切罪陀羅尼經	ZH1161	1	1	64	64	
LQ1449	佛說如意摩尼陀羅尼經	ZH1162	1	1	64	64	
LQ1461	大金剛妙高山樓閣陀羅尼	ZH1163	1	1	64	64	
LQ1160	佛說普賢菩薩陀羅尼經	ZH1164	1	1	64	64	
LQ0913	妙臂菩薩所問經	ZH1165	4	4	64	64	
LQ1324	佛說寶藏神大明曼拏羅儀軌經	ZH1166	2	2	64	64	
LQ1325	佛說聖寶藏神儀軌經	ZH1167	2	2	64	64	
LQ0907	一切如來大秘密王未曾有最上微妙大曼拏羅經	ZH1168	5	5	64	64	
LQ1298	佛說大摩裡支菩薩經	ZH1169	7	7	64	64	
LQ1277	聖無能勝金剛火陀羅尼經	ZH1170	1	1	64	64	
LQ1423	佛說聖莊嚴陀羅尼經	ZH1171	2	2	64	64	
LQ1456	佛說聖幡瓔珞陀羅尼經	ZH1172	1	1	64	64	
LQ1402	佛說花精樓閣陀羅尼經	ZH1173	1	1	64	64	
LQ1058	千轉大明陀羅尼經	ZH1174	1	1	64	64	
LQ1443	佛說智光滅一切業障陀羅尼經	ZH1175	1	1	64	64	
LQ1756	賢聖集伽陀一百誦	ZH1176	1	1	64	64	
LQ1418	佛說聖大總持王經	ZH1177	1	1	64	64	
LQ1459	佛說尊勝大明王經	ZH1178	1	1	64	64	
LQ1450	佛說如意寶總持王經	ZH1179	1	1	64	64	
LQ1417	佛說持名藏八大總持王經	ZH1180	1	1	64	64	
LQ1159	佛說普賢曼拏羅經	ZH1181	1	1	64	64	
LQ1454	佛說最上意陀羅尼經	ZH1182	1	1	64	64	
LQ1069	佛說聖六字大明王陀羅尼經	ZH1183	1	1	64	64	
LQ0980	佛說大威德金輪佛頂熾盛光如來消除一切災難陀羅尼經	ZH1184	1	1	64	64	
LQ0185	佛說眾許摩訶帝經	ZH1185	13	13	64	64	
LQ0226	佛說月光菩薩經	ZH1186	1	1	64	64	
LQ0499	佛說金光王童子經	ZH1187	1	1	64	64	
LQ0796	佛說佈施經	ZH1188	1	1	64	64	
LQ1753	揵稚梵讚	ZH1189	1	1	64	64	
LQ0004	毗婆屍佛經	ZH1190	2	2	64	64	
LQ1237	佛說文殊師利一百八名梵讚	ZH1191	1	1	64	64	
LQ1237	佛說文殊師利一百八名梵讚	ZH1191	1	1	64	64	
LQ1077	佛說聖觀自在菩薩梵讚	ZH1192	1	1	64	64	
LQ0134	佛說解憂經	ZH1193	1	1	64	64	
LQ0021	佛說大三摩惹經	ZH1194	1	1	64	64	
LQ1344	佛說聖曜母陀羅尼經	ZH1195	1	1	64	64	
LQ0076	佛說長者施報經	ZH1196	1	1	64	64	
LQ0003	佛說七佛經	ZH1197	1	1	64	64	
LQ1749	佛一百八名讚	ZH1198	1	1	64	64	
LQ1285	佛說毗沙門天王經	ZH1199	1	1	64	64	存疑
LQ1140	聖多羅菩薩梵讚	ZH1200	1	1	64	64	
LQ0976	一切如來說佛頂輪王一百八名讚	ZH1201	1	1	64	64	
LQ1419	增慧陀羅尼經	ZH1202	1	1	64	64	
LQ0149	佛說四無所畏經	ZH1203	1	1	64	64	
LQ1455	佛說聖最勝陀羅尼經	ZH1204	1	1	64	64	
LQ0268	佛說遍照波若波羅密經	ZH1205	1	1	64	64	
LQ0276	佛說帝釋波若波羅密多心經	ZH1206	1	1	64	64	
LQ0274	佛說五十頌聖波若波羅密經	ZH1207	1	1	64	64	
LQ0797	大乘舍黎娑擔摩經	ZH1208	1	1	64	64	
LQ0609	佛說諸佛經	ZH1209	1	1	64	64	
LQ1564	佛說大乘戒經	ZH1210	1	1	64	64	
LQ1071	聖六字增壽大明陀羅尼經	ZH1211	1	1	64	64	
LQ0393	佛說大乘無量壽莊嚴經	ZH1212	3	3	64	64	
LQ0255	佛說佛母寶德藏波若波羅密經	ZH1213	3	3	64	64	
LQ0032	佛說薩缽多酥哩踰捺野經	ZH1214	1	1	64	64	
LQ1162	佛說金剛手菩薩降伏一切部多大教王經	ZH1215	3	3	64	64	
LQ1161	最上大乘金剛大教寶王經	ZH1216	2	2	64	64	
LQ1000	佛說一切如來烏瑟膩沙最勝總持經	ZH1217	1	1	64	64	
LQ1733	菩提心觀釋	ZH1218	1	1	64	64	
LQ0353	佛說護國尊者所問大乘經	ZH1219	4	4	64	64	
LQ1209	佛說金剛香菩薩大明成就儀軌經	ZH1220	3	3	64	64	
LQ1313	金剛薩埵說頻那夜迦天成就儀軌經	ZH1221	4	4	64	64	
LQ1255	佛說妙吉祥最勝根本大教經	ZH1222	3	3	64	64	
LQ0909	佛說幻化網大瑜伽教是忿怒明王大明觀想儀軌經	ZH1223	1	1	64	64	
LQ0644	佛說妙吉祥菩薩所問大乘法螺經	ZH1224	1	1	64	64	
LQ0617	佛說八大菩薩經	ZH1225	1	1	64	64	
LQ1208	佛說持明藏瑜伽大教尊那菩薩大明成就儀軌經	ZH1226	4	4	64	64	
LQ1283	佛說妙吉祥瑜伽大教金剛陪囉嚩輪觀想成就儀軌經	ZH1227	1	1	64	64	
LQ1206-1	佛說大乘八大曼拏羅經	ZH1228	1	1	64	64	
LQ1761	迦葉仙人說醫女人經	ZH1229	1	1	64	64	
LQ1378	囉嚩拏說救療小兒疾病經	ZH1230	1	1	64	64	
LQ0321	佛說較量一切佛刹功德經	ZH1231	1	1	64	64	
LQ1353	難你計濕嚩囉天說支輪經	ZH1232	1	1	64	64	
LQ0908	佛說瑜伽大教王經	ZH1233	5	5	64	64	
LQ0956	佛說大乘觀想曼拏羅淨諸惡趣經	ZH1234	2	2	64	64	
LQ1073	佛說一切佛攝相應大教王經聖觀自在菩薩念誦儀軌	ZH1235	1	1	64	64	
LQ1164	聖金剛手菩薩一百八名梵讚	ZH1236	1	1	64	64	
LQ1431	佛說俱枳羅陀羅尼經	ZH1237	1	1	64	64	
LQ1446	佛說消除一切災障寶髻陀羅尼經	ZH1238	1	1	64	64	
LQ1432	佛說妙色陀羅尼經	ZH1239	1	1	64	64	
LQ1433	佛說栴檀香身陀羅尼經	ZH1240	1	1	64	64	
LQ1430	佛說鉢蘭那賒嚩哩大陀羅尼經	ZH1241	1	1	64	64	
LQ1429	佛說宿命智陀羅尼經	ZH1242	1	1	64	64	
LQ1178	佛說慈氏菩薩誓願陀羅尼經	ZH1243	1	1	64	64	
LQ1445	佛說滅除五逆罪大陀羅尼經	ZH1244	1	1	64	64	
LQ0951	佛說無量功德陀羅尼經	ZH1245	1	1	64	64	
LQ1151	佛說十八臂陀羅尼經	ZH1246	1	1	64	64	
LQ1436	佛說洛義陀羅尼經	ZH1247	1	1	64	64	
LQ1453	佛說辟除諸惡陀羅尼經	ZH1248	1	1	64	64	
LQ1748	佛三身讚	ZH1249	1	1	64	64	
LQ1236	曼殊室利菩薩吉祥伽陀	ZH1250	1	1	64	64	
LQ1236	曼殊室利菩薩吉祥伽陀	ZH1250	1	1	64	64	
LQ0658	寶授菩薩菩提行經	ZH1251	1	1	64	64	
LQ1755	佛說八大靈塔名號經	ZH1252	1	1	64	64	
LQ1754	八大靈塔梵讚	ZH1253	1	1	64	64	
LQ1747	三身梵讚	ZH1254	1	1	64	64	
LQ0145	佛說阿羅漢具德經	ZH1255	1	1	64	64	
LQ1434	佛說無畏陀羅尼經	ZH1256	1	1	64	64	
LQ1426	佛說大愛陀羅尼經	ZH1257	1	1	64	64	
LQ1227	佛說妙吉祥菩薩陀羅尼	ZH1258	1	1	64	64	
LQ1435	佛說無量壽大智陀羅尼	ZH1259	1	1	64	64	
LQ1428	佛說宿命智陀羅尼	ZH1260	1	1	64	64	
LQ1177	佛說慈氏菩薩陀羅尼	ZH1261	1	1	64	64	
LQ1185	佛說虛空藏菩薩陀羅尼	ZH1262	1	1	64	64	
LQ0160	佛說尊那經	ZH1263	1	1	64	64	
LQ0011	大正句王經	ZH1264	2	2	64	64	
LQ1137	佛說聖多羅菩薩經	ZH1265	1	1	64	64	
LQ1451	佛說息除賊難陀羅尼經	ZH1266	1	1	64	64	
LQ1172	佛說延壽妙門陀羅尼經	ZH1267	1	1	64	64	
LQ1413	佛說秘密八名陀羅尼經	ZH1268	1	1	64	64	
LQ1427	佛說大吉祥陀羅尼經	ZH1269	1	1	64	64	
LQ1326	佛說寶賢陀羅尼經	ZH1270	1	1	64	64	
LQ1150	佛說觀自在菩薩母陀羅尼經	ZH1271	1	1	64	64	
LQ0136	佛說戒香經	ZH1272	1	1	64	64	
LQ1395	佛說一切如來名號陀羅尼經	ZH1273	1	1	64	64	
LQ0043	佛說頻婆娑羅王經	ZH1274	1	1	64	64	
LQ0127	佛說信解智力經	ZH1275	1	1	64	64	
LQ0117	佛說舊城喻經	ZH1276	1	1	64	64	
LQ0020	佛說信佛功德經	ZH1277	1	1	64	64	
LQ1371	佛說善樂長者經	ZH1278	1	1	64	64	
LQ0009	佛說人仙經	ZH1279	1	1	64	64	
LQ0808	佛說法身經	ZH1280	1	1	64	64	
LQ0574	佛說決定義經	ZH1281	1	1	64	64	
LQ1329	佛說最上秘密那拏天經	ZH1282	3	3	64	64	
LQ0017	佛說帝釋所問經	ZH1283	1	1	64	64	
LQ0064	佛說解夏經	ZH1284	1	1	64	64	
LQ0089	佛說四品法門經	ZH1285	1	1	64	64	
LQ0071	佛說護國經	ZH1286	1	1	64	64	
LQ0270	佛說最上根本大樂金剛不空三昧大教王經	ZH1287	7	7	64	64	
LQ3968	大唐開元釋教廣品歷章 	ZH1288	30	17	65	65	
LQ3969	大唐正元續開元釋教錄 	ZH1289	3	3	65	65	
LQ1270	穢跡金剛禁百變法經 	ZH1290	1	1	65	65	
LQ1269	穢跡金剛說神通大滿陀羅尼法術靈要門 	ZH1291	1	1	65	65	
LQ1268	金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王大威力烏樞瑟摩明王經 	ZH1292	3	3	65	65	
LQ0279	普遍智藏般若波羅蜜多心經 	ZH1293	1	1	65	65	
LQ0894	金剛頂經瑜伽修習毗盧遮那三摩地法 	ZH1294	1	1	65	65	
LQ1084-1	千手千眼觀世音菩薩大身咒本 	ZH1295	1	1	65	65	
LQ1083	千手千眼觀自在菩薩廣大圓滿無礙大悲心陀羅尼咒本 	ZH1296	1	1	65	65	
LQ1242	不動使者陀羅尼秘密法 	ZH1297	1	1	65	65	
LQ0822	金剛頂瑜伽念珠經 	ZH1298	1	1	65	65	
LQ0883	金剛頂一切如來真實攝大乘現證大教王經 	ZH1299	3	3	65	65	
LQ0269	大樂金剛不空真實三麽耶經 	ZH1300	1	1	65	65	
LQ1134	佛說大方廣曼殊室利經 	ZH1301	1	1	65	65	
LQ0970	一字奇特佛頂經 	ZH1302	3	3	65	65	
LQ1055	金剛恐怖集會方廣軌儀觀自在菩薩三世最勝心明王經 	ZH1303	1	1	65	65	
LQ1210-1	金剛頂經瑜伽文殊師利菩薩法一品(亦名五字呪法) 	ZH1305	1	1	65	65	
LQ1061	阿唎多羅陀羅尼阿嚕力經 	ZH1306	1	1	65	65	
LQ0454	百千頌大集經地藏菩薩請問法身讚 	ZH1307	1	1	65	65	
